,boardgame_avgrating,boardgame_geekrating,boardgame_listprice,boardgame_voters,boardgame_year,boardgame_rank
0,8.91,8.611,140,24390,2017,1
1,8.64,8.49,69.99,30847,2015,2
2,8.54,8.259,69.95,15494,2015,3
3,8.4,8.242,69.95,38060,2016,4
4,8.32,8.174,64.99,34198,2005,5
5,8.45,8.162,99.95,16408,2016,6
6,8.55,8.125,83.97,9019,2017,7
7,8.29,8.12,63.95,38978,2016,8
8,8.29,8.08,69.95,18882,2016,9
9,8.73,8.072,149.95,6441,2017,10
10,8.2,8.049,79.99,32404,2012,11
11,8.42,8.032,89.99,9711,2012,12
12,8.13,8.012,41.99,36374,2011,13
13,8.12,7.991,29.99,40128,2015,14
14,8.38,7.99,79.95,10518,2017,15
15,8.62,7.986,,5322,2018,16
16,8.43,7.939,,8806,2017,17
17,8.15,7.928,60,17187,2015,18
18,8.1,7.926,64.99,19602,2013,19
19,8.04,7.923,44.99,56150,2002,20
20,8.23,7.921,39.95,17168,2016,21
21,8.12,7.909,59.99,14888,2007,22
22,8.07,7.908,97,23489,2013,23
23,8.11,7.896,124.99,23361,2011,24
24,7.99,7.889,79.71,56722,2007,25
25,8.16,7.878,99.95,16322,2016,26
26,8.08,7.876,59.99,15704,2014,27
27,8.18,7.859,99.99,10958,2016,28
28,8.18,7.855,,9543,2015,29
29,8.03,7.849,79.99,25308,2015,30
30,8.13,7.817,,11057,2016,31
31,8.81,7.814,,5778,2015,32
32,8.26,7.809,79.99,7043,2017,33
33,8.08,7.806,99.99,16453,2014,34
34,7.99,7.803,69.99,16855,2006,35
35,7.89,7.801,44.99,49703,2004,36
36,7.94,7.784,39.99,27043,2017,37
37,7.93,7.778,59.95,24289,2012,38
38,7.95,7.777,99,23910,2011,39
39,7.89,7.755,59.91,22974,2008,40
40,7.91,7.744,65,26538,2012,41
41,7.94,7.732,59.99,15268,2015,42
42,8.06,7.711,69.99,8773,2017,43
43,7.9,7.71,39.95,24205,2012,44
44,7.78,7.691,49.99,68427,2010,45
45,7.86,7.676,72.99,15812,2012,46
46,7.76,7.664,34.99,40387,2007,47
47,7.81,7.662,54.99,24569,2005,48
48,7.85,7.659,79.99,15617,2010,49
49,8.14,7.651,79.99,5703,2014,50
50,8.12,7.647,65,6814,2017,51
51,7.77,7.647,49.99,38316,2012,52
52,7.87,7.642,89.95,17196,2005,53
53,8.01,7.641,99.99,10376,2018,54
54,7.78,7.639,59.99,25469,2014,55
55,7.86,7.633,59.99,23436,2013,56
56,7.78,7.629,99.99,21127,1995,57
57,7.72,7.627,19.95,50405,2015,58
58,8.1,7.626,60,6832,2018,59
59,7.82,7.615,60,16763,2016,60
60,7.74,7.61,39.95,26965,2009,61
61,7.72,7.603,27.99,33099,2014,62
62,8.02,7.602,79.99,6674,2015,63
63,7.92,7.596,44.99,8508,2015,64
64,7.74,7.591,49.95,29674,2008,65
65,7.73,7.586,,21247,2014,66
66,8.16,7.585,55,5334,2019,67
67,7.8,7.578,49.99,13385,1981,68
68,7.76,7.576,49.99,18824,2015,69
69,7.76,7.575,59.99,15004,2010,70
70,7.79,7.566,,12053,2013,71
71,7.71,7.56,59.95,23033,1997,72
72,7.78,7.556,70,12464,2011,73
73,7.77,7.551,39.99,20680,2012,74
74,7.64,7.547,39.99,82574,2008,75
75,7.65,7.545,44.95,67814,2008,76
